audience_id,dma,daypart,ctv_lift_index,web_lift_index,social_lift_index,budget_weight,recommended_channel
AUD-RETAIL-07,Kansas City,Prime access,122.8,130.4,153.5,0.59,Social proof plus web retargeting
AUD-RETAIL-07,Kansas City,Weekend morning,118.5,137.1,148.4,0.58,Social proof plus web retargeting
AUD-RETAIL-07,Columbus,Lunch,108.8,125.5,141.1,0.46,Social proof plus web retargeting
AUD-RETAIL-07,Columbus,Prime access,104.4,129.6,140.1,0.45,Social proof plus web retargeting
AUD-RETAIL-07,Columbus,Weekend morning,116.1,138.5,143.0,0.56,Social proof plus web retargeting
AUD-HOME-08,Miami-Fort Lauderdale,Weekend morning,131.8,140.1,104.8,0.54,Contextual web plus conversion retargeting
AUD-HOME-08,Miami-Fort Lauderdale,Weekend afternoon,109.4,137.3,110.3,0.42,Contextual web plus conversion retargeting
AUD-HOME-08,Miami-Fort Lauderdale,Early evening,115.0,137.3,111.8,0.46,Contextual web plus conversion retargeting
AUD-HOME-08,Houston,Weekend morning,115.5,144.9,112.2,0.49,Contextual web plus conversion retargeting
AUD-HOME-08,Houston,Weekend afternoon,136.2,140.3,113.5,0.59,CTV plus digital retargeting
AUD-HOME-08,Houston,Early evening,111.6,152.2,122.7,0.53,Contextual web plus conversion retargeting
AUD-HOME-08,St. Louis,Weekend morning,120.7,136.4,118.2,0.5,Contextual web plus conversion retargeting
AUD-HOME-08,St. Louis,Weekend afternoon,110.7,139.1,114.1,0.44,Contextual web plus conversion retargeting
AUD-HOME-08,St. Louis,Early evening,110.1,153.6,114.3,0.5,Contextual web plus conversion retargeting
AUD-HOME-08,Sacramento,Weekend morning,121.4,134.6,119.2,0.5,Contextual web plus conversion retargeting
AUD-HOME-08,Sacramento,Weekend afternoon,129.2,150.0,107.5,0.57,Contextual web plus conversion retargeting
AUD-HOME-08,Sacramento,Early evening,136.0,147.6,125.8,0.65,Contextual web plus conversion retargeting
AUD-B2B-09,San Francisco-Oakland-San Jose,Morning commute,113.5,162.3,110.8,0.54,Contextual web plus conversion retargeting
AUD-B2B-09,San Francisco-Oakland-San Jose,Lunch,107.9,150.3,128.2,0.51,Contextual web plus conversion retargeting
AUD-B2B-09,San Francisco-Oakland-San Jose,Early evening,117.5,156.0,126.7,0.59,Contextual web plus conversion retargeting
AUD-B2B-09,Austin,Morning commute,110.7,140.0,127.0,0.49,Contextual web plus conversion retargeting
AUD-B2B-09,Austin,Lunch,113.0,149.8,109.1,0.49,Contextual web plus conversion retargeting
AUD-B2B-09,Austin,Early evening,98.8,150.0,119.8,0.44,Contextual web plus conversion retargeting
AUD-B2B-09,Seattle-Tacoma,Morning commute,115.3,156.3,127.9,0.58,Contextual web plus conversion retargeting
AUD-B2B-09,Seattle-Tacoma,Lunch,99.5,154.6,126.2,0.48,Contextual web plus conversion retargeting
AUD-B2B-09,Seattle-Tacoma,Early evening,91.3,146.7,118.5,0.38,Contextual web plus conversion retargeting
AUD-B2B-09,New York,Morning commute,96.1,152.8,109.8,0.4,Contextual web plus conversion retargeting
AUD-B2B-09,New York,Lunch,92.1,147.6,126.5,0.41,Contextual web plus conversion retargeting
AUD-B2B-09,New York,Early evening,104.0,144.0,107.8,0.41,Contextual web plus conversion retargeting
AUD-SPORTS-10,Boston,Prime access,152.8,118.6,145.0,0.69,CTV plus digital retargeting
AUD-SPORTS-10,Boston,Late evening,152.2,120.1,149.4,0.7,CTV plus digital retargeting
AUD-SPORTS-10,Boston,Weekend afternoon,154.2,116.8,136.4,0.66,CTV plus digital retargeting
AUD-SPORTS-10,Philadelphia,Prime access,147.9,121.7,138.4,0.65,CTV plus digital retargeting
AUD-SPORTS-10,Philadelphia,Late evening,142.4,115.5,140.6,0.6,CTV plus digital retargeting
AUD-SPORTS-10,Philadelphia,Weekend afternoon,142.2,136.4,137.2,0.68,CTV plus digital retargeting
AUD-SPORTS-10,Chicago,Prime access,137.4,125.1,128.4,0.58,CTV plus digital retargeting
AUD-SPORTS-10,Chicago,Late evening,158.8,128.4,150.5,0.78,CTV plus digital retargeting
AUD-SPORTS-10,Chicago,Weekend afternoon,154.5,135.1,145.4,0.76,CTV plus digital retargeting
AUD-SPORTS-10,Phoenix,Prime access,144.8,123.5,138.1,0.64,CTV plus digital retargeting
AUD-SPORTS-10,Phoenix,Late evening,140.4,127.6,137.1,0.63,CTV plus digital retargeting
AUD-SPORTS-10,Phoenix,Weekend afternoon,152.1,136.5,140.0,0.74,CTV plus digital retargeting
AUD-CPG-11,Portland,Weekend morning,119.5,145.3,136.8,0.58,Contextual web plus conversion retargeting
AUD-CPG-11,Portland,Lunch,113.9,133.3,154.2,0.55,Social proof plus web retargeting
AUD-CPG-11,Portland,Early evening,123.5,139.0,152.7,0.63,Social proof plus web retargeting
AUD-CPG-11,Denver,Weekend morning,116.7,123.0,153.0,0.53,Social proof plus web retargeting
AUD-CPG-11,Denver,Lunch,119.0,132.8,135.1,0.53,Social proof plus web retargeting
AUD-CPG-11,Denver,Early evening,104.8,133.0,145.8,0.48,Social proof plus web retargeting
AUD-CPG-11,Minneapolis-St. Paul,Weekend morning,121.3,139.3,153.9,0.62,Social proof plus web retargeting
AUD-CPG-11,Minneapolis-St. Paul,Lunch,105.5,137.6,152.2,0.52,Social proof plus web retargeting
AUD-CPG-11,Minneapolis-St. Paul,Early evening,97.3,129.7,144.5,0.42,Social proof plus web retargeting
AUD-CPG-11,Raleigh-Durham,Weekend morning,102.1,135.8,135.8,0.45,Contextual web plus conversion retargeting
AUD-CPG-11,Raleigh-Durham,Lunch,98.1,130.6,152.5,0.45,Social proof plus web retargeting
AUD-CPG-11,Raleigh-Durham,Early evening,110.0,127.0,133.8,0.45,Social proof plus web retargeting
AUD-LUX-12,New York,Late evening,127.5,164.3,119.8,0.66,Contextual web plus conversion retargeting
AUD-LUX-12,New York,Weekend afternoon,121.9,152.3,137.2,0.63,Contextual web plus conversion retargeting
AUD-LUX-12,New York,Prime access,131.5,158.0,135.7,0.7,Contextual web plus conversion retargeting
AUD-LUX-12,Los Angeles,Late evening,124.7,142.0,136.0,0.6,Contextual web plus conversion retargeting
AUD-LUX-12,Los Angeles,Weekend afternoon,127.0,151.8,118.1,0.6,Contextual web plus conversion retargeting
AUD-LUX-12,Los Angeles,Prime access,112.8,152.0,128.8,0.55,Contextual web plus conversion retargeting
AUD-LUX-12,Miami-Fort Lauderdale,Late evening,129.3,158.3,136.9,0.69,Contextual web plus conversion retargeting
AUD-LUX-12,Miami-Fort Lauderdale,Weekend afternoon,113.5,156.6,135.2,0.59,Contextual web plus conversion retargeting
AUD-LUX-12,Miami-Fort Lauderdale,Prime access,105.3,148.7,127.5,0.49,Contextual web plus conversion retargeting
AUD-LUX-12,San Francisco-Oakland-San Jose,Late evening,110.1,154.8,118.8,0.52,Contextual web plus conversion retargeting
AUD-LUX-12,San Francisco-Oakland-San Jose,Weekend afternoon,106.1,149.6,135.5,0.52,Contextual web plus conversion retargeting
AUD-LUX-12,San Francisco-Oakland-San Jose,Prime access,118.0,146.0,116.8,0.52,Contextual web plus conversion retargeting
